expert_id,seed_id,seed_title,ambulatory_profile_1_4,context_realism_1_4,symptom_plausibility_1_4,clarity_1_4,information_sufficiency_1_4,anti_stereotypy_1_4,research_usefulness_1_4,overall_mean_1_4,target_severity_code,target_severity_label,severity_rating_code,severity_rating_label,severity_matches_target,comment
E02,10,"Muž s rutinou, stagnáciou a pasívnym A9",3,3,3,2,2,2,3,2.571,2,skôr stredná,3,skôr stredne ťažká,0,preskumat suicidalnu ideaciu
E02,11,Žena s nízkym príjmom a sociálnym stiahnutím,3,3,3,3,3,2,3,2.857,2,skôr stredná,3,skôr stredne ťažká,0,
E02,12,Muž s vysokou zodpovednosťou a utlmeným prežívaním,3,3,3,2,3,2,3,2.714,2,skôr stredná,2,skôr stredná,1,
E03,1,Mladá žena s pracovno-študijným preťažením,3,2,3,2,2,2,2,2.286,2,skôr stredná,2,skôr stredná,1,
E03,2,Mladý muž so smennou prácou,2,2,3,3,3,2,3,2.571,2,skôr stredná,2,skôr stredná,1,
E03,3,Žena v strednom veku s caregiving záťažou,2,2,3,2,2,3,2,2.286,3,skôr stredne ťažká,2,skôr stredná,0,
E03,4,Muž s vysokou pracovnou záťažou,2,3,3,2,2,3,2,2.429,2,skôr stredná,2,skôr stredná,1,
E03,5,Rozvedená žena s finančným tlakom,3,3,3,2,2,2,2,2.429,2,skôr stredná,2,skôr stredná,1,
E03,6,Muž s dlhou pracovnou záťažou,2,3,2,2,2,2,3,2.286,2,skôr stredná,2,skôr stredná,1,
E03,7,Staršia vdova so stratou rytmu,2,3,2,3,2,3,2,2.429,2,skôr stredná,2,skôr stredná,1,
E03,8,Starší muž po strate rutiny,2,2,3,3,2,2,3,2.429,1,skôr mierna,3,skôr stredne ťažká,0,
E03,9,Výkonovo zaťažená žena s rumináciami,3,2,3,2,3,3,2,2.571,2,skôr stredná,3,skôr stredne ťažká,0,
E03,10,"Muž s rutinou, stagnáciou a pasívnym A9",3,3,2,3,3,2,2,2.571,2,skôr stredná,3,skôr stredne ťažká,0,
E03,11,Žena s nízkym príjmom a sociálnym stiahnutím,3,3,2,2,3,3,3,2.714,2,skôr stredná,2,skôr stredná,1,
E03,12,Muž s vysokou zodpovednosťou a utlmeným prežívaním,3,2,3,3,2,2,2,2.429,2,skôr stredná,2,skôr stredná,1,
E04,1,Mladá žena s pracovno-študijným preťažením,3,3,3,3,2,3,3,2.857,2,skôr stredná,2,skôr stredná,1,spúštač... čo sa dialo v alebo pred obdobím kedy ťažkosti začali
E04,2,Mladý muž so smennou prácou,3,3,3,3,2,2,3,2.714,2,skôr stredná,2,skôr stredná,1,"vzťahy, dôvody prečo žije s rodičmi, udalosti pred vznikom ťažkostí"
E04,3,Žena v strednom veku s caregiving záťažou,4,4,4,3,3,3,4,3.571,3,skôr stredne ťažká,3,skôr stredne ťažká,1,
E04,4,Muž s vysokou pracovnou záťažou,3,3,3,3,2,2,3,2.714,2,skôr stredná,2,skôr stredná,1,"ako viete vylúčiť, že nejde o vyhorenie?"
E04,5,Rozvedená žena s finančným tlakom,3,3,3,3,2,3,3,2.857,2,skôr stredná,2,skôr stredná,1,menopauza?
E04,6,Muž s dlhou pracovnou záťažou,3,3,3,3,2,3,3,2.857,2,skôr stredná,2,skôr stredná,1,udalosti predchádzajúce vzniku ťažkostí?
E04,7,Staršia vdova so stratou rytmu,3,3,3,3,3,3,3,3.0,2,skôr stredná,2,skôr stredná,1,
E04,8,Starší muž po strate rutiny,3,3,3,3,2,3,3,2.857,1,skôr mierna,1,skôr mierna,1,celkový zdravotný stav?
E04,9,Výkonovo zaťažená žena s rumináciami,3,3,3,3,2,3,3,2.857,2,skôr stredná,2,skôr stredná,1,
E04,10,"Muž s rutinou, stagnáciou a pasívnym A9",3,3,3,3,3,3,3,3.0,2,skôr stredná,3,skôr stredne ťažká,0,
E04,11,Žena s nízkym príjmom a sociálnym stiahnutím,3,3,3,3,3,3,3,3.0,2,skôr stredná,2,skôr stredná,1,
E04,12,Muž s vysokou zodpovednosťou a utlmeným prežívaním,3,3,3,3,2,3,3,2.857,2,skôr stredná,1,skôr mierna,0,
E05,1,Mladá žena s pracovno-študijným preťažením,4,4,4,3,3,3,3,3.429,2,skôr stredná,2,skôr stredná,1,"scenar vykresluje bežný zakladny obraz, ktory je potreba klinicky s klientom upresniť"
E05,2,Mladý muž so smennou prácou,4,4,4,4,4,3,3,3.714,2,skôr stredná,2,skôr stredná,1,"zakladné východiská môžu vždy pôsobiť trochu stereotypne, diverzita vnika ponorenim sa do pripadu"
E05,3,Žena v strednom veku s caregiving záťažou,4,4,4,4,4,3,3,3.714,3,skôr stredne ťažká,3,skôr stredne ťažká,1,
E05,4,Muž s vysokou pracovnou záťažou,4,4,4,4,3,3,3,3.571,2,skôr stredná,2,skôr stredná,1,
E05,5,Rozvedená žena s finančným tlakom,4,4,4,4,4,3,3,3.714,2,skôr stredná,3,skôr stredne ťažká,0,
E05,6,Muž s dlhou pracovnou záťažou,4,4,4,4,4,3,4,3.857,2,skôr stredná,2,skôr stredná,1,
E05,7,Staršia vdova so stratou rytmu,4,4,4,4,4,3,4,3.857,2,skôr stredná,3,skôr stredne ťažká,0,
E05,8,Starší muž po strate rutiny,4,4,4,4,4,3,4,3.857,1,skôr mierna,3,skôr stredne ťažká,0,
E05,9,Výkonovo zaťažená žena s rumináciami,4,4,4,4,4,3,4,3.857,2,skôr stredná,3,skôr stredne ťažká,0,
E05,10,"Muž s rutinou, stagnáciou a pasívnym A9",4,4,4,4,4,3,4,3.857,2,skôr stredná,3,skôr stredne ťažká,0,
E05,11,Žena s nízkym príjmom a sociálnym stiahnutím,4,4,4,4,4,3,4,3.857,2,skôr stredná,2,skôr stredná,1,
E05,12,Muž s vysokou zodpovednosťou a utlmeným prežívaním,4,4,4,4,4,3,4,3.857,2,skôr stredná,2,skôr stredná,1,
E06,1,Mladá žena s pracovno-študijným preťažením,2,3,3,4,4,3,4,3.286,2,skôr stredná,1,skôr mierna,0,8 týždňov ťažkostí zvyčajne ešte neprichádzajú
E06,2,Mladý muž so smennou prácou,2,3,3,3,3,3,4,3.0,2,skôr stredná,1,skôr mierna,0,ako predtým - nezvyknú prísť tak skoro (trvanie 9 týždňov)
E06,3,Žena v strednom veku s caregiving záťažou,3,4,3,3,3,4,4,3.429,3,skôr stredne ťažká,2,skôr stredná,0,
E06,4,Muž s vysokou pracovnou záťažou,2,3,3,3,3,3,4,3.0,2,skôr stredná,2,skôr stredná,1,partnerkou alebo manželkou - vybrať jedno
E06,5,Rozvedená žena s finančným tlakom,3,4,3,3,3,3,3,3.143,2,skôr stredná,1,skôr mierna,0,"predaji alebo službách. - vybrať jedno,  u matky bola dlhodobo prítomná neliečená skleslosť po rozvode?"
E06,6,Muž s dlhou pracovnou záťažou,3,3,3,3,3,3,4,3.143,2,skôr stredná,2,skôr stredná,1,"partnerkou alebo manželkou, - vybrať jedno, možný psychomotorický  - možný?,"
E06,7,Staršia vdova so stratou rytmu,3,4,4,4,4,4,4,3.857,2,skôr stredná,3,skôr stredne ťažká,0,
E06,8,Starší muž po strate rutiny,3,4,3,3,3,4,4,3.429,1,skôr mierna,3,skôr stredne ťažká,0,"partnerkou alebo manželkou, možný psychomotorický,"
E06,9,Výkonovo zaťažená žena s rumináciami,3,4,3,3,3,4,4,3.429,2,skôr stredná,3,skôr stredne ťažká,0,"rána?,kvalita spánku?,"
E06,10,"Muž s rutinou, stagnáciou a pasívnym A9",3,3,3,4,4,4,4,3.571,2,skôr stredná,3,skôr stredne ťažká,0,"partnerkou alebo partnerom?,"
E06,11,Žena s nízkym príjmom a sociálnym stiahnutím,4,4,3,4,4,4,4,3.857,2,skôr stredná,2,skôr stredná,1,dočasne mimo práce alebo na PN - vybrať jedno
E06,12,Muž s vysokou zodpovednosťou a utlmeným prežívaním,3,3,3,4,2,3,4,3.143,2,skôr stredná,2,skôr stredná,1,
