expert_id,item_id,item_code,block,item_label,relevance_1_4,clarity_1_4,need_1_4,item_mean_1_4
E03,12,R5,R,Neprimeraná dramatizácia alebo neprirodzená expresivita,2,2,3,2.333
E04,1,G1,G,Klinická vierohodnosť rozhovoru,4,4,4,4.0
E04,2,G2,G,Prirodzenosť jazyka a štýlu odpovedí,3,4,4,3.667
E04,3,G3,G,Vnútorná konzistentnosť rozhovoru,3,3,3,3.0
E04,4,G4,G,Súlad rozhovoru s obrazom depresívnej symptomatiky,4,4,4,4.0
E04,5,G5,G,Použiteľnosť rozhovoru na tréningové / výučbové účely,4,4,4,4.0
E04,6,S1,S,Odhad celkovej závažnosti depresívnej symptomatiky,4,4,4,4.0
E04,7,S2,S,Odhad funkčného dopadu na bežné fungovanie,4,4,4,4.0
E04,8,R1,R,Prítomnosť vnútorných kontradikcií v rozhovore,4,4,4,4.0
E04,9,R2,R,Klišé alebo šablónovité odpovede,3,4,4,3.667
E04,10,R3,R,Nesúlad medzi kontextom a symptomatikou,3,3,3,3.0
E04,11,R4,R,Podozrenie na inú primárnu psychopatológiu,4,4,3,3.667
E04,12,R5,R,Neprimeraná dramatizácia alebo neprirodzená expresivita,3,3,3,3.0
E05,1,G1,G,Klinická vierohodnosť rozhovoru,4,4,4,4.0
E05,2,G2,G,Prirodzenosť jazyka a štýlu odpovedí,4,4,4,4.0
E05,3,G3,G,Vnútorná konzistentnosť rozhovoru,4,4,4,4.0
E05,4,G4,G,Súlad rozhovoru s obrazom depresívnej symptomatiky,4,4,4,4.0
E05,5,G5,G,Použiteľnosť rozhovoru na tréningové / výučbové účely,4,4,4,4.0
E05,6,S1,S,Odhad celkovej závažnosti depresívnej symptomatiky,4,4,4,4.0
E05,7,S2,S,Odhad funkčného dopadu na bežné fungovanie,4,4,4,4.0
E05,8,R1,R,Prítomnosť vnútorných kontradikcií v rozhovore,4,4,4,4.0
E05,9,R2,R,Klišé alebo šablónovité odpovede,2,2,4,2.667
E05,10,R3,R,Nesúlad medzi kontextom a symptomatikou,3,4,4,3.667
E05,11,R4,R,Podozrenie na inú primárnu psychopatológiu,4,4,4,4.0
E05,12,R5,R,Neprimeraná dramatizácia alebo neprirodzená expresivita,3,3,4,3.333
E06,1,G1,G,Klinická vierohodnosť rozhovoru,4,4,4,4.0
E06,2,G2,G,Prirodzenosť jazyka a štýlu odpovedí,4,4,4,4.0
E06,3,G3,G,Vnútorná konzistentnosť rozhovoru,2,3,3,2.667
E06,4,G4,G,Súlad rozhovoru s obrazom depresívnej symptomatiky,4,4,4,4.0
E06,5,G5,G,Použiteľnosť rozhovoru na tréningové / výučbové účely,4,4,4,4.0
E06,6,S1,S,Odhad celkovej závažnosti depresívnej symptomatiky,3,4,3,3.333
E06,7,S2,S,Odhad funkčného dopadu na bežné fungovanie,2,4,3,3.0
E06,8,R1,R,Prítomnosť vnútorných kontradikcií v rozhovore,3,3,3,3.0
E06,9,R2,R,Klišé alebo šablónovité odpovede,4,4,2,3.333
E06,10,R3,R,Nesúlad medzi kontextom a symptomatikou,4,4,2,3.333
E06,11,R4,R,Podozrenie na inú primárnu psychopatológiu,2,4,3,3.0
E06,12,R5,R,Neprimeraná dramatizácia alebo neprirodzená expresivita,3,4,3,3.333
