transcript_id,seed_id,guardrail,profile,plausibility_index,defect_index,symptom_error_mean,s1,s2,severity_error,impact_error,g2,g5,n_ratings
MDD-AI-SIMULATION-TX-0049,S12,on,R1,4,1.8,0.5555555555555556,3.5,3.5,0.5,0.5,3.5,4,2
MDD-AI-SIMULATION-TX-0050,S01,on,R2,4,2,0.3333333333333333,3.5,3,0.5,0,4,4,2
MDD-AI-SIMULATION-TX-0051,S02,on,R2,4,2.1,0.4444444444444444,3,3,0,0,3,3.5,2
MDD-AI-SIMULATION-TX-0052,S03,on,R2,4,2,0.5555555555555556,4,3,0,1,4,4,2
MDD-AI-SIMULATION-TX-0053,S04,on,R2,3.5,2.4,0.5555555555555556,3,3,0,0,3.5,3,2
MDD-AI-SIMULATION-TX-0054,S05,on,R2,4,2.2,0.7777777777777778,3,3,0,0,3,3.5,2
MDD-AI-SIMULATION-TX-0055,S06,on,R2,4,1.7,0.6666666666666666,3.5,3.5,0.5,0.5,4,4,2
MDD-AI-SIMULATION-TX-0056,S07,on,R2,4.5,1.8,0.8888888888888888,3.5,3.5,0.5,0.5,4,4,2
MDD-AI-SIMULATION-TX-0057,S08,on,R2,4.5,1.8,0.3333333333333333,3,3,1,1,4,4,2
MDD-AI-SIMULATION-TX-0058,S09,on,R2,3.666666666666667,2.2,0.4444444444444444,3,3,0,0,4,3.5,2
MDD-AI-SIMULATION-TX-0059,S10,on,R2,3.5,2.3,0.5555555555555556,3,3,0,0,3,3,2
MDD-AI-SIMULATION-TX-0060,S11,on,R2,4.5,1.6,0.7777777777777778,3.5,3.5,0.5,0.5,4,4.5,2
MDD-AI-SIMULATION-TX-0061,S12,on,R2,4,1.7,0.5555555555555556,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0062,S02,on,R3,3.833333333333333,2.2,0.3333333333333333,4,3.5,1,0.5,4,4,2
MDD-AI-SIMULATION-TX-0063,S03,on,R3,4,1.7,0.6666666666666666,4,3.5,0,0.5,4,4,2
MDD-AI-SIMULATION-TX-0064,S04,on,R3,3.833333333333333,2.2,0.5555555555555556,3,3,0,0,4,4,2
MDD-AI-SIMULATION-TX-0065,S05,on,R3,3.666666666666667,2.2,0.6666666666666666,3.5,3.5,0.5,0.5,4,3.5,2
MDD-AI-SIMULATION-TX-0066,S06,on,R3,4,2,0.6666666666666666,3.5,3.5,0.5,0.5,3.5,4,2
MDD-AI-SIMULATION-TX-0067,S07,on,R3,4,2,0.3333333333333333,3,3,0,0,3.5,4,2
MDD-AI-SIMULATION-TX-0068,S08,on,R3,4,2,0.1111111111111111,3,3,1,1,4,4,2
MDD-AI-SIMULATION-TX-0069,S09,on,R3,3.833333333333333,2.3,0.1111111111111111,3,3,0,0,4,3.5,2
MDD-AI-SIMULATION-TX-0070,S10,on,R3,4.333333333333334,1.8,0.5555555555555556,4,4,1,1,3.5,4,2
MDD-AI-SIMULATION-TX-0071,S11,on,R3,4,1.7,0.7777777777777778,4,3.5,1,0.5,4,4,2
MDD-AI-SIMULATION-TX-0072,S12,on,R3,4.333333333333334,1.7,0.6666666666666666,3.5,3.5,0.5,0.5,4,4,2
